YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC
1961;24,21;25,03;25,58;25,24;23,53;21,68;20,7;22,63;27,25;26,52;26,25;24,28
1962;25,21;25,56;24,93;24,64;22,01;20,74;20,39;23,24;26,32;25,02;25,51;24,21
1963;25,48;25,37;25,95;24,89;21,32;19,76;20,56;23,06;25,92;28,06;27,01;25,56
1964;24,83;25,77;25,36;24,88;22,71;20,1;20,72;23,28;25,43;24,54;23,77;24,19
1965;24,36;25,04;24,23;24,44;23,64;21,96;21,82;23,49;25,93;24,95;25;25,06
1966;24,9;24,71;25,19;23,71;23,14;20,84;21,96;23,36;25,04;25,97;25,15;25,22
1967;25,22;25,25;25,28;24,5;22,37;22,3;21,4;23,7;25,95;26,18;24,91;24,63
1968;24,97;23,56;24,86;23,76;20,74;20,04;20,6;23,05;24,79;26,06;25,61;24,65
1969;25,37;26,05;25,55;24,86;23,04;21,76;21,35;23,91;25,96;26,02;25,12;24,58
1970;25,25;24,49;24,98;24,52;23,04;22,9;22,17;23,16;25,19;25,35;25,03;25,88
1971;25,77;25,12;25,27;24,5;22,93;21,91;21,68;22,84;24,5;24,11;24,01;24,64
1972;24,79;24,54;25,2;23,69;22,77;21,89;21,27;23,31;25,5;25,63;25,11;24,86
1973;25,09;24,99;25,19;24,38;22,57;21,35;21,35;23,32;26,58;25,16;25,46;25,38
1974;25,04;25,58;24,49;24,71;23,11;22;21;23,66;25,83;25,76;25,7;24,58
1975;24,87;25,44;25,56;24,49;22,54;22,13;20,66;24,28;26,27;25,21;24,85;25,19
1976;25,55;24,81;24,91;24,58;23,43;21,69;21,92;24;24,09;24,94;25,1;24,96
1977;24,56;25,25;26,52;25,04;22,51;22,63;22,56;24,63;25,02;26,47;25,69;25,75
1978;25,34;25,46;24,96;24,41;23,06;21,45;22,43;22,77;25,24;26,37;24,99;24,81
1979;25,16;25,17;25,26;24,52;22,9;21,97;21,91;24,07;24,95;26,45;25,31;25,53
1980;24,77;24,53;25,96;24,93;22,886;22,54;23,13;24,89;25,02;26,95;25,63;24,44
1981;25,09;25,09;25,33;24,52;20,57;21,96;21,79;23,78;25,3;25,7;24,85;25,68
1982;24,51;25,67;25,74;24,35;23;23,31;22,42;24,01;25,36;25,54;26,53;24,74
1983;24,95;25,85;25,25;25,44;24,36;23,47;23,1;23,71;25,95;25,09;24,78;24,25
1984;25,54;26,02;26,1;25,22;24,74;22,57;22,93;23,66;24,41;26,62;26,25;25,26
1985;23,83;25,66;25,67;25,06;24,61;20,07;21,54;24,55;26,44;25,17;25,18;25,32
1986;25,19;25,38;25,68;25,77;24,59;22,1;22,29;24,66;25,22;25,6;25,68;24,87
1987;25,79;25,43;25,22;25,56;24,48;22,83;23,12;24,15;26,95;27,17;25,78;25,15
1988;26,03;25,34;25,59;25,96;24,61;21,71;21,45;23,41;26,58;26,14;25,53;25,13
1989;25,24;25,37;25,36;25,59;23,21;22,81;22,37;24,09;25,62;26,04;25,55;25,04
1990;25,09;25,43;25,59;25,24;21,41;22,34;22,41;24,09;25,68;26;25,58;24,99
1991;25,13;25,52;25,55;25,27;24,56;22,32;22,34;24,01;25,75;25,91;25,57;25,04
1992;25,13;25,57;25,58;25,88;24,96;23,26;23,59;25,29;25,8;25,93;25,64;24,98
1993;25,19;25,56;25,56;25,5;27,15;22,35;22,51;24,16;25,84;25,97;25,55;25
1994;25,22;25,53;25,59;25,51;24,43;22,24;22,46;24,21;25,83;26,06;25,63;25,08
1995;25,73;24,7;25,94;25,53;23,8;22,2;22,41;24,26;26,99;27,32;26,57;25,06
1996;25,37;25,38;25,87;25,05;23,84;21,51;22,44;25,25;26,1;26,47;25,04;25,57
1997;24,9;25,68;24,7;24,29;22,72;21,23;21,78;24,08;26,8;27,23;26,74;25,86
1998;26,22;26,72;26,88;26,96;23,76;23,25;23,35;26,52;27,37;26,99;25,57;25,66
1999;26,23;26,11;25,94;25,72;23,08;23,35;24,33;24,17;26,69;26,92;25,59;25,65
2000;25,31;25,48;25,59;25,37;23,91;22,86;22,01;25,7;25,51;27,25;25,03;25,2
2001;25,79;26,2;25,58;25,39;23,59;22,48;22,99;23,63;25,81;24,97;25,15;25,42
2002;25,69;25,41;26,02;26,04;24,42;23,19;23,85;25,96;25,75;28,28;26,54;26,43
2003;25,77;26,16;25,67;26,07;23,58;23,08;22,74;24,81;26,95;26,32;26,1;26,96
2004;25,28;24,96;25,6;25,35;23,91;22,22;22,34;24,33;27,81;27,17;26,44;25,75
2005;25,87;26,36;25,99;26,46;23,95;23,38;22,99;25,06;27,86;28,28;25,78;24,89
2006;26,18;25,45;25,62;25,45;23,23;23,07;23,21;26,09;26,75;25,82;25,89;26,11
2007;26,34;25,64;26,53;26,35;24;23,46;24,08;25,06;28,06;28,42;26,78;25,74
2008;25,28;25,6;25,27;25,5;23,6;23,05;22,45;25,34;26,78;27,54;26,31;25,42
2009;26,12;26,18;26,28;24,89;24,18;22,65;24,14;25,08;26,88;26,52;26,64;25,32
2010;26,39;27,12;26,38;25,53;24,69;23,59;24,37;24,92;28,19;27,38;25,58;25,93
2011;25,7;25,93;25,38;25,91;24,22;22,91;23,64;25,91;27,56;25,28;25,17;24,96
2012;24,32;25,35;25,96;26,11;23,72;24,12;23,32;24,42;27,32;28,01;25,87;26,65
2013;25,15;26,25;26,5;25,3;24,4;24,14;23,3;24,7;26,9;26,6;25,79;25,64
2014;26,13;25,99;25,43;25,69;24,19;23,39;23,14;25,09;28,04;28,09;26,44;25,27
2015;27,47;25,61;25,27;25,87;24,07;23,67;24,02;25,37;28,17;29,57;27,67;27,2
2016;25,35;27,15;26,75;999,9;25,55;23,75;24,2;25,75;28,1;27,05;25,65;26,33
2017;26,13;25,83;26,33;26,18;25,18;23,63;21,68;25,53;27,13;28,73;25,98;25,32
2018;25,97;25,62;26,32;999,9;999,9;23,77;23,42;25,82;27,17;27,27;25,37;26,25
2019;26,85;26,3;26,15;25,85;25,15;23,4;22,85;25,7;28,85;28,3;999,9;999,9
